,Postcode,Borough,Neighbourhood,Hood_ID,Population,Assault_AVG,Assault_Rate_2019,AutoTheft_AVG,AutoTheft_Rate_2019,Homicide_AVG,Homicide_Rate_2019
,M3A,North York,Parkwoods,45,34805,159.7,454,31.5,91.9,0.3,2.9
,M4A,North York,Victoria Village,43,17510,119.3,753.9,16.5,102.8,0.7,5.7
,M6A,North York,Lawrence Heights,32,22372,104,518.5,28.5,102.8,0.2,0
,M1B,Scarborough,Rouge,131,46496,173.3,391.4,50.5,187.1,0.8,0
,M1B,Scarborough,Malvern,132,43794,278.2,760.4,47.2,162.1,1.7,2.3
,M3B,North York,Don Mills North,42,27695,80.5,267.2,21.8,151.7,0,0
,M9B,Etobicoke,Islington,14,43965,223,504.9,126.5,391.2,0.8,2.3
,M1C,Scarborough,Port Union,133,13362,46.5,359.2,9.5,142.2,0.3,0
,M3C,North York,Flemingdon Park,44,21933,141.2,693,7.8,36.5,0.2,0
,M4C,East York,Woodbine Heights,59,17180,65.8,483.1,9.3,52.4,0,0
,M6C,York,Humewood-Cedarvale,106,14365,46.3,320.2,16.2,111.4,0.3,0
,M9C,Etobicoke,Eringate,11,18588,54,236.7,29.7,220.6,0.5,5.4
,M9C,Etobicoke,Markland Wood,12,10554,20.7,161.1,12.3,85.3,0,0
,M1E,Scarborough,Guildwood,140,9917,41.5,282.3,2.7,30.3,0.2,10.1
,M1E,Scarborough,Morningside,135,17455,153.8,1048.4,13.7,45.8,0.5,5.7
,M1E,Scarborough,West Hill,136,27392,402,1573.5,26.5,164.3,0.8,7.3
,M4E,East Toronto,The Beaches,63,21567,93.8,375.6,16.3,92.7,0,0
,M6E,York,Caledonia-Fairbanks,109,9955,71.7,813.7,10.2,110.5,0,0
,M1G,Scarborough,Woburn,137,53485,384.7,798.4,46,112.2,1.2,0
,M4G,East York,Leaside,56,16828,32.8,184.2,18.2,190.2,0.2,0
,M2H,North York,Hillcrest Village,48,16934,57.7,407.5,18.8,159.4,0.2,5.9
,M3H,North York,Bathurst Manor,34,15873,50.5,315,26.7,151.2,0,0
,M4H,East York,Thorncliffe Park,55,21108,97.5,544.8,9.3,61.6,1.5,0
,M6H,West Toronto,Dovercourt Village,93,36625,240.8,737.2,32,106.5,1.7,8.2
,M6H,West Toronto,Dufferin,83,11785,97.7,789.1,10.2,50.9,0.2,0
,M1J,Scarborough,Scarborough Village,139,16724,168.5,1046.4,17.2,107.6,1.3,0
,M2J,North York,Fairview,46,15818,46,278.2,13.5,151.7,0.2,0
,M2J,North York,Henry Farm,53,15723,74.2,540.6,15,146.3,0.5,0
,M3J,North York,York University,27,27593,333.2,1340.9,106.3,521.9,0.8,0
,M5J,Downtown Toronto,Toronto Islands,77,65913,851.8,1280.5,53.7,92.5,1,1.5
,M6J,West Toronto,Little Portugal,84,15559,93.8,572,13.3,77.1,0.8,0
,M6J,West Toronto,Trinity,81,16556,141.5,767.1,22,151,0.2,0
,M1K,Scarborough,Ionview,125,13641,94.2,579.1,6.5,58.6,0,0
,M1K,Scarborough,Kennedy Park,124,17123,219.3,1308.2,22,140.2,0.5,5.8
,M2K,North York,Bayview Village,52,21396,76.7,308.5,20.5,172.9,0.2,0
,M3K,North York,CFB Toronto,26,35052,395.8,1261,107.8,459.3,1.3,8.6
,M4K,East Toronto,The Danforth West,66,9666,72.3,786.3,6.2,72.4,0.8,0
,M4K,East Toronto,Riverdale,68,11916,64.5,663,12.2,176.2,0.3,0
,M1L,Scarborough,Oakridge,121,13845,160.2,1112.3,14.2,72.2,0.2,0
,M2L,North York,York Mills,41,9266,27.8,474.9,8.7,118.7,0,0
,M6L,North York,Downsview,26,35052,395.8,1261,107.8,459.3,1.3,8.6
,M6L,North York,Upwood Park,29,10111,32.5,306.6,15.3,257.1,0,0
,M9L,North York,Humber Summit,21,12416,104.3,950.4,82.3,1087.3,1.2,24.2
,M1M,Scarborough,Cliffcrest,123,15935,110.2,834.6,16.5,119.2,0.3,0
,M2M,North York,Newtonbrook,50,16097,66.5,410,11.7,167.7,0.3,0
