OBJECTID,Neighbourhood,Hood_ID,Population,Assault_AVG,Assault_Rate_2019,AutoTheft_AVG,AutoTheft_Rate_2019,Homicide_AVG,Homicide_Rate_2019
1,Yonge-St.Clair,97,12528,31,295.3,4.3,47.9,0,0
2,York University Heights,27,27593,333.2,1340.9,106.3,521.9,0.8,0
3,Lansing-Westgate,38,16164,70.7,445.4,23.7,198,1.7,0
4,Yorkdale-Glen Park,31,14804,160.2,1411.8,55.5,412.1,1.2,6.8
5,Stonegate-Queensway,16,25051,83.2,327.3,28.7,135.7,0,0
6,Tam O'Shanter-Sullivan,118,27446,109.7,389.9,23,91.1,0.7,7.3
7,The Beaches,63,21567,93.8,375.6,16.3,92.7,0,0
8,Thistletown-Beaumond Heights,3,10360,53.7,714.3,25.3,482.6,0.3,0
9,Thorncliffe Park,55,21108,97.5,544.8,9.3,61.6,1.5,0
10,Danforth East York,59,17180,65.8,483.1,9.3,52.4,0,0
11,Humewood-Cedarvale,106,14365,46.3,320.2,16.2,111.4,0.3,0
12,Islington-City Centre West,14,43965,223,504.9,126.5,391.2,0.8,2.3
13,Danforth,66,9666,72.3,786.3,6.2,72.4,0.8,0
14,Rustic,28,9941,60,593.5,15.8,372.2,0.3,10.1
15,Scarborough Village,139,16724,168.5,1046.4,17.2,107.6,1.3,0
16,South Parkdale,85,21849,226.5,1148.8,18.7,91.5,0.3,4.6
17,South Riverdale,70,27876,244.3,936.3,30.8,143.5,1.8,0
18,St.Andrew-Windfields,40,17812,50,325.6,20.2,196.5,0.5,0
19,Taylor-Massey,61,15683,111.3,777.9,9.3,76.5,0.7,6.4
20,Humber Summit,21,12416,104.3,950.4,82.3,1087.3,1.2,24.2
21,Humbermede,22,15545,133.3,1035.7,49.3,437.4,0.3,0
22,Centennial Scarborough,133,13362,46.5,359.2,9.5,142.2,0.3,0
23,Church-Yonge Corridor,75,31340,642.8,2804.7,37.8,172.3,2,3.2
24,Clairlea-Birchmount,120,26984,260.5,1045.1,44.5,244.6,1.2,3.7
25,Cliffcrest,123,15935,110.2,834.6,16.5,119.2,0.3,0
26,Flemingdon Park,44,21933,141.2,693,7.8,36.5,0.2,0
27,Corso Italia-Davenport,92,14133,85.3,672.2,11.5,106.1,0.2,0
28,Ionview,125,13641,94.2,579.1,6.5,58.6,0,0
29,Junction Area,90,14366,99.3,591.7,25.5,215.8,0.2,0
30,Broadview North,57,11499,65.2,669.6,5.3,26.1,0.3,0
31,Princess-Rosethorn,10,11051,24,244.3,22.3,262.4,0.3,0
32,North Riverdale,68,11916,64.5,663,12.2,176.2,0.3,0
33,Etobicoke West Mall,13,11848,49.3,430.5,11.2,84.4,0.7,16.9
34,Forest Hill North,102,12806,30.8,304.5,15,203,0,0
35,Glenfield-Jane Heights,25,30491,304.8,1128.2,59.2,282.1,0.8,6.6
36,Greenwood-Coxwell,65,14417,111,894.8,16.5,173.4,0.3,0
37,Guildwood,140,9917,41.5,282.3,2.7,30.3,0.2,10.1
38,Trinity-Bellwoods,81,16556,141.5,767.1,22,151,0.2,0
39,Victoria Village,43,17510,119.3,753.9,16.5,102.8,0.7,5.7
40,Waterfront Communities-The Island,77,65913,851.8,1280.5,53.7,92.5,1,1.5
41,West Hill,136,27392,402,1573.5,26.5,164.3,0.8,7.3
42,West Humber-Clairville,1,33312,301.8,795.5,366.7,1446.9,1.5,6
43,Westminster-Branson,35,26274,111,441.5,27.7,129.4,0,0
44,Kennedy Park,124,17123,219.3,1308.2,22,140.2,0.5,5.8
45,Kingsview Village-The Westway,6,22000,104.3,413.6,46.2,181.8,1.5,0
46,Bayview Woods-Steeles,49,13154,40.3,342.1,14.7,136.8,0.2,7.6
47,Clanton Park,33,16472,76.2,540.3,43.5,255,0.2,0
48,Keelesdale-Eglinton West,110,11058,63,551.6,22,298.4,0.5,9
49,O'Connor-Parkview,54,18675,152.8,781.8,16.5,155.3,0.3,0
50,Old East York,58,9233,46.2,498.2,4.3,43.3,0.3,0
51,Casa Loma,96,10968,37,455.9,6.8,54.7,0,0
