,Postcode,Borough,Neighbourhood,Neighbourhood Number,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree",Secondary (high) school diploma or equivalency certificate,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,      Certificate of Apprenticeship or Certificate of Qualification,"    College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,"    University certificate, diploma or degree at bachelor level or above",      Bachelor's degree,      University certificate or diploma above bachelor level,"      Degree in medicine, dentistry, veterinary medicine or optometry",      Earned doctorate,Total - Household total income groups in 2015 for private households - 100% data,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over","$200,000 and over",Latitude,Longitude
0,M3A,North York,Parkwoods,45,28890,4140,7660,700,605,5295,1055,9410,6105,730,295,285,"13,305",345,185,315,590,600,615,575,620,620,"1,200","1,025",880,790,650,3795,890,43.751,-79.323
4,M6A,North York,Lawrence Manor,32,17080,2675,4340,505,330,2635,725,5880,3730,525,255,185,"8,245",170,155,290,485,395,390,380,315,335,735,565,500,435,315,2155,755,43.726,-79.436
7,M1B,Scarborough,Rouge,131,38125,6580,11740,1020,635,7740,1210,9195,6765,640,160,105,"13,400",95,80,130,245,325,325,410,405,455,970,950,930,940,845,6060,1075,43.805,-79.166
8,M1B,Scarborough,Malvern,132,35885,7345,11575,1155,710,6915,935,7230,5465,385,160,110,"13,425",195,160,290,485,600,630,680,650,655,"1,360","1,200","1,000",905,795,3280,225,43.809,-79.222
9,M3B,North York,Don Mills North,42,23390,2295,5150,450,345,3490,795,10850,6500,800,625,375,"12,125",265,155,235,395,445,405,470,460,400,930,885,780,655,605,4615,1750,43.761,-79.411
10,M4B,East York,Woodbine Gardens,60,6690,1015,1760,190,125,1235,125,2245,1435,135,25,100,"3,455",55,65,105,150,135,110,130,115,115,245,205,200,185,195,1245,210,43.712,-79.303
11,M4B,East York,Parkview Hill,54,15395,2905,4240,510,350,2985,455,3970,2735,285,55,70,"7,470",190,150,265,395,375,370,375,350,295,595,485,410,385,345,2095,515,43.706,-79.322
20,M1C,Scarborough,Highland Creek,134,10930,1625,3200,345,230,2085,400,3055,2150,205,70,60,"3,700",60,25,45,70,80,90,120,80,115,230,230,200,195,210,1890,440,43.79,-79.173
27,M6C,York,Humewood-Cedarvale,106,12070,1125,2225,225,150,1885,395,6060,3505,500,190,300,"6,570",165,130,240,310,290,290,285,295,300,510,430,360,275,240,2045,935,43.695,-79.428
29,M9C,Etobicoke,Eringate,11,15890,2435,4225,470,380,3035,425,4915,3360,315,90,150,"6,860",65,25,70,220,205,250,215,255,235,435,475,465,445,390,2995,590,43.659,-79.583
30,M9C,Etobicoke,Markland Wood,12,9110,1070,2255,205,200,1655,195,3525,2390,290,55,105,"4,305",45,25,45,125,145,140,135,170,160,320,285,275,255,230,1875,575,43.634,-79.571
32,M1E,Scarborough,Guildwood,140,8365,1080,2225,200,325,1590,235,2715,1785,245,20,105,"3,990",40,20,40,140,110,130,150,130,160,295,255,265,255,240,1715,410,43.753,-79.193
33,M1E,Scarborough,Morningside,135,14275,2465,4345,450,340,3065,405,3220,2255,275,110,60,"5,880",140,125,215,250,295,285,270,310,275,475,425,385,320,310,1515,205,43.783,-79.205
34,M1E,Scarborough,West Hill,136,22395,4990,6425,765,665,4625,600,4330,3015,315,100,80,"9,985",135,395,560,490,485,490,465,465,380,795,680,605,565,500,2340,300,43.769,-79.183
35,M4E,East Toronto,The Beaches,63,17625,1455,3420,255,200,2680,375,9235,5705,590,240,405,"9,425",195,150,260,270,245,225,280,255,295,510,455,445,430,405,4740,2265,43.667,-79.297
37,M6E,York,Caledonia-Fairbanks,109,8420,2925,2175,265,320,1385,190,1160,850,95,20,30,"3,680",55,65,100,175,155,190,180,170,180,295,255,250,210,235,1040,80,43.689,-79.455
38,M1G,Scarborough,Woburn,137,43410,8850,13170,1025,830,7535,1120,10860,7575,705,270,195,"18,445",435,455,685,825,960,910,950,955,815,"1,725","1,405","1,240","1,070",865,3980,430,43.777,-79.232
39,M4G,East York,Leaside,56,13365,1125,2350,125,80,1680,325,7665,4665,465,200,390,"6,435",120,65,80,150,160,150,155,140,165,310,265,265,270,230,3775,2260,43.713,-79.367
40,M5G,Downtown Toronto,Central Bay Street,76,23940,700,5740,155,100,1595,545,15090,8370,680,1235,985,"15,075",2510,735,740,580,560,490,515,440,410,850,840,815,705,570,3600,1105,43.652,-79.387
41,M6G,Downtown Toronto,Christie,94,11385,1860,2285,220,205,1710,330,4775,2770,315,80,295,"5,885",120,120,185,325,270,225,225,225,225,400,390,315,300,275,1895,610,43.662,-79.424
43,M2H,North York,Hillcrest Village,48,14805,1865,3400,210,165,2155,575,6445,3980,455,200,280,"6,395",175,115,170,235,325,245,245,195,165,375,350,405,310,305,2215,480,43.789,-79.373
44,M3H,North York,Bathurst Manor,34,13265,1665,3390,345,255,2125,485,4980,3075,475,180,215,"6,085",130,85,155,245,230,220,255,240,245,400,430,390,310,300,2025,515,43.757,-79.454
47,M4H,East York,Thorncliffe Park,55,15245,3195,4015,265,135,2070,505,5075,3125,265,215,95,"7,125",250,160,255,375,490,490,465,470,415,730,560,425,360,270,925,100,43.701,-79.358
51,M6H,West Toronto,Dovercourt Village,93,31760,7105,7335,755,555,4590,655,10775,7085,580,110,420,"15,325",310,330,605,715,660,640,695,650,625,"1,150","1,035",935,905,815,4435,710,43.653,-79.425
52,M6H,West Toronto,Dufferin,83,10430,2150,2125,195,185,1590,210,3965,2590,235,60,145,"5,430",125,95,190,260,240,305,290,265,245,415,410,355,285,245,1385,265,43.686,-79.446
53,M1J,Scarborough,Scarborough Village,139,13075,2955,3785,355,265,2305,460,2935,1810,190,100,115,"5,920",105,180,305,325,345,370,345,325,355,570,420,355,300,220,1080,195,43.741,-79.208
54,M2J,North York,Fairview,46,13760,2355,3495,345,250,2205,495,4625,3090,275,145,180,"5,520",145,75,100,215,225,255,230,255,230,455,405,370,310,295,1775,295,43.778,-79.344
55,M2J,North York,Henry Farm,53,13210,1210,2765,260,170,1920,510,6370,3985,350,165,140,"6,365",460,170,210,280,290,265,280,280,285,545,465,470,415,340,1320,230,43.769,-79.346
58,M3J,North York,York University,27,23520,5125,6980,830,505,3765,765,5555,3910,340,105,185,"10,165",345,230,340,525,525,590,570,530,530,950,845,615,605,515,1955,195,43.773,-79.502
59,M4J,East York,East Toronto,59,14055,2500,3045,350,205,2370,345,5255,3350,315,70,230,"7,025",95,105,165,310,260,275,260,255,255,445,385,345,330,375,2820,685,43.691,-79.342
63,M6J,West Toronto,Little Portugal,84,13655,2385,2775,230,200,1990,235,5840,4010,220,65,180,"7,425",200,150,250,285,305,310,315,325,305,605,550,540,470,425,2105,415,43.648,-79.431
64,M6J,West Toronto,Trinity,81,14485,3115,3275,190,190,1740,225,5745,3515,365,125,300,"6,910",180,105,215,315,245,300,295,260,255,510,435,370,390,340,2445,730,43.65,-79.417
66,M1K,Scarborough,Ionview,125,11300,2385,3260,315,265,2100,370,2600,1670,205,60,45,"5,165",120,95,205,240,295,295,295,340,295,465,440,400,280,260,900,70,43.731,-79.274
68,M2K,North York,Bayview Village,52,18725,1310,3680,215,145,2905,700,9790,6055,515,475,365,"9,530",585,260,290,365,370,360,330,350,335,650,655,615,520,495,3010,855,43.778,79.383
